,fprs,tprs,thresholds
0,0.0,0.0,2.0
1,0.0,0.012,1.0
2,0.0,0.048,0.99443924
3,0.0006666666666666666,0.048,0.99443
4,0.0006666666666666666,0.08333333333333333,0.9900739
5,0.0006666666666666666,0.10066666666666667,0.99
6,0.0006666666666666666,0.12466666666666666,0.9871884
7,0.0013333333333333333,0.12466666666666666,0.9871186
8,0.0013333333333333333,0.14533333333333334,0.98456174
9,0.002,0.14533333333333334,0.98451066
10,0.002,0.18266666666666667,0.9800562
11,0.002,0.204,0.98
12,0.002,0.21933333333333332,0.97839636
13,0.0026666666666666666,0.21933333333333332,0.9782761
14,0.0026666666666666666,0.22133333333333333,0.97802883
15,0.0033333333333333335,0.22133333333333333,0.9779961
16,0.0033333333333333335,0.224,0.9776603
17,0.004,0.224,0.97751975
18,0.004,0.2653333333333333,0.97276706
19,0.004666666666666667,0.2653333333333333,0.97270095
20,0.004666666666666667,0.27066666666666667,0.97234964
21,0.005333333333333333,0.27066666666666667,0.9723021
22,0.005333333333333333,0.2886666666666667,0.97004145
23,0.005333333333333333,0.31133333333333335,0.97
24,0.006,0.31133333333333335,0.96997154
25,0.006,0.3253333333333333,0.96820134
26,0.006666666666666667,0.3253333333333333,0.9680655
27,0.006666666666666667,0.3606666666666667,0.9611234
28,0.007333333333333333,0.3606666666666667,0.961106
29,0.007333333333333333,0.36533333333333334,0.96068054
30,0.008,0.36533333333333334,0.96063846
31,0.008,0.36666666666666664,0.96050006
32,0.008666666666666666,0.36666666666666664,0.9604926
33,0.008666666666666666,0.37133333333333335,0.96010804
34,0.008666666666666666,0.3953333333333333,0.96
35,0.008666666666666666,0.4166666666666667,0.95476717
36,0.009333333333333334,0.4166666666666667,0.9547601
37,0.009333333333333334,0.424,0.95265
38,0.01,0.424,0.95247185
39,0.01,0.42533333333333334,0.9522158
40,0.010666666666666666,0.42533333333333334,0.95219755
41,0.010666666666666666,0.43133333333333335,0.9500564
42,0.012,0.452,0.95
43,0.012,0.4633333333333333,0.94717276
44,0.012666666666666666,0.4633333333333333,0.94706273
45,0.012666666666666666,0.4706666666666667,0.9453201
46,0.013333333333333334,0.4706666666666667,0.9453022
47,0.013333333333333334,0.4766666666666667,0.94458884
48,0.014,0.4766666666666667,0.9445856
49,0.014,0.48533333333333334,0.9425105
50,0.014666666666666666,0.48533333333333334,0.9423816
51,0.014666666666666666,0.49133333333333334,0.94014055
52,0.015333333333333332,0.5086666666666667,0.94
53,0.015333333333333332,0.5126666666666667,0.93962
54,0.016,0.5126666666666667,0.93958485
55,0.016,0.5146666666666667,0.9393937
56,0.016666666666666666,0.5146666666666667,0.93896633
57,0.016666666666666666,0.5233333333333333,0.9371242
58,0.017333333333333333,0.5233333333333333,0.937029
59,0.017333333333333333,0.5246666666666666,0.9365581
60,0.018,0.5246666666666666,0.9364264
61,0.018,0.526,0.93617886
62,0.018666666666666668,0.526,0.9361377
63,0.018666666666666668,0.5326666666666666,0.93417186
64,0.019333333333333334,0.5326666666666666,0.9338638
65,0.019333333333333334,0.5346666666666666,0.93313485
66,0.02,0.5346666666666666,0.93303114
67,0.02,0.5386666666666666,0.93207645
68,0.020666666666666667,0.5386666666666666,0.9319953
69,0.020666666666666667,0.54,0.9318985
70,0.021333333333333333,0.54,0.9317795
71,0.021333333333333333,0.5406666666666666,0.93171495
72,0.022,0.5406666666666666,0.9316925
73,0.022,0.5446666666666666,0.9305509
74,0.022,0.5633333333333334,0.93
75,0.022,0.5753333333333334,0.92620784
76,0.02266666666666667,0.5753333333333334,0.9260322
77,0.02266666666666667,0.578,0.9250989
78,0.023333333333333334,0.578,0.9250292
79,0.023333333333333334,0.586,0.92296386
80,0.024,0.586,0.9228174
81,0.024,0.5893333333333334,0.9217665
82,0.024666666666666667,0.5893333333333334,0.92171586
83,0.024666666666666667,0.5926666666666667,0.92082876
84,0.024666666666666667,0.6066666666666667,0.92
85,0.024666666666666667,0.6166666666666667,0.91544473
86,0.025333333333333333,0.6166666666666667,0.91517955
87,0.025333333333333333,0.6173333333333333,0.9148571
88,0.026,0.6173333333333333,0.9142301
89,0.026,0.6193333333333333,0.91327995
90,0.02666666666666667,0.6193333333333333,0.91316694
91,0.02666666666666667,0.628,0.91049343
92,0.027333333333333334,0.6466666666666666,0.91
93,0.027333333333333334,0.6506666666666666,0.9082215
94,0.028,0.6506666666666666,0.9080431
95,0.028,0.662,0.90206945
96,0.028666666666666667,0.662,0.90184474
97,0.028666666666666667,0.6633333333333333,0.9013957
98,0.029333333333333333,0.6633333333333333,0.90081215
99,0.029333333333333333,0.664,0.9007514
100,0.03,0.664,0.9006175
101,0.03,0.6653333333333333,0.90054274
102,0.03133333333333333,0.6793333333333333,0.9
103,0.03133333333333333,0.6873333333333334,0.8961649
104,0.032,0.6873333333333334,0.8958529
105,0.032,0.6913333333333334,0.89343923
106,0.03266666666666666,0.6913333333333334,0.8932934
107,0.03266666666666666,0.694,0.89101255
108,0.034,0.7073333333333334,0.89
109,0.034666666666666665,0.7073333333333334,0.88910764
110,0.034666666666666665,0.7093333333333334,0.8879857
111,0.036,0.7093333333333334,0.88718337
112,0.036,0.71,0.88616765
113,0.03666666666666667,0.71,0.88402855
114,0.03666666666666667,0.7106666666666667,0.88401467
115,0.037333333333333336,0.7106666666666667,0.8839511
116,0.037333333333333336,0.712,0.8830771
117,0.038,0.712,0.8826675
118,0.038,0.7166666666666667,0.8800667
119,0.03933333333333333,0.726,0.88
120,0.03933333333333333,0.7273333333333334,0.87960875
121,0.04,0.7273333333333334,0.8780853
122,0.04,0.728,0.8780007
123,0.04066666666666666,0.728,0.87778634
124,0.04066666666666666,0.7286666666666667,0.87715703
125,0.04133333333333333,0.7286666666666667,0.8762017
126,0.04133333333333333,0.7293333333333333,0.87613785
127,0.043333333333333335,0.7293333333333333,0.8736375
128,0.043333333333333335,0.73,0.87013817
129,0.044,0.7433333333333333,0.87
130,0.044,0.7506666666666667,0.8622757
131,0.04466666666666667,0.7506666666666667,0.86083835
132,0.04466666666666667,0.7526666666666667,0.860332
133,0.04533333333333334,0.756,0.86
134,0.046,0.756,0.85971695
135,0.046,0.7593333333333333,0.85731196
136,0.04666666666666667,0.7593333333333333,0.8544491
137,0.04666666666666667,0.764,0.8531256
138,0.048,0.764,0.8514098
139,0.048,0.766,0.8501345
140,0.048666666666666664,0.7726666666666666,0.85
141,0.048666666666666664,0.7746666666666666,0.8459167
142,0.050666666666666665,0.7746666666666666,0.84282273
143,0.050666666666666665,0.776,0.8423216
144,0.051333333333333335,0.776,0.8406091
145,0.051333333333333335,0.786,0.84
146,0.052,0.786,0.83999246
147,0.052,0.7953333333333333,0.83226466
148,0.05266666666666667,0.7953333333333333,0.8313402
149,0.05266666666666667,0.798,0.8304685
150,0.05333333333333334,0.8046666666666666,0.83
151,0.05333333333333334,0.8073333333333333,0.82808626
152,0.05466666666666667,0.8073333333333333,0.8278142
153,0.05466666666666667,0.8093333333333333,0.82669216
154,0.05533333333333333,0.8093333333333333,0.82649505
155,0.05533333333333333,0.8113333333333334,0.82253563
156,0.056,0.8113333333333334,0.82184595
157,0.056,0.812,0.8201002
158,0.056,0.8153333333333334,0.82
159,0.056,0.818,0.81664735
160,0.05733333333333333,0.818,0.81348747
161,0.05733333333333333,0.8193333333333334,0.81167346
162,0.05733333333333333,0.826,0.81
163,0.05733333333333333,0.828,0.8076584
164,0.058666666666666666,0.828,0.8037237
165,0.058666666666666666,0.8293333333333334,0.80109364
166,0.058666666666666666,0.8373333333333334,0.8
167,0.058666666666666666,0.838,0.7994426
168,0.059333333333333335,0.838,0.79489917
169,0.059333333333333335,0.8393333333333334,0.79362273
170,0.06133333333333333,0.8393333333333334,0.79267555
171,0.06133333333333333,0.8406666666666667,0.79056793
172,0.06266666666666666,0.8433333333333334,0.79
173,0.06266666666666666,0.8446666666666667,0.7876434
174,0.06333333333333334,0.8446666666666667,0.7870385
175,0.06333333333333334,0.8513333333333334,0.78
176,0.06333333333333334,0.8533333333333334,0.77654177
